// single phase coef Number:=24,    upsample factor:=320,     downsample factor:=147
24,320,147,0,
   17, -203, -187,  238, -381,  588, -877, 1284,-1894, 2950,-5522,30530, 8044,-3239, 1845,-1176,  790, -548,  389, -284,  212, -365,  -12,    4,
   17, -201, -189,  240, -385,  593, -884, 1295,-1911, 2976,-5569,30457, 8180,-3290, 1874,-1195,  803, -556,  395, -288,  215, -366,  -13,    4,
   17, -200, -192,  243, -388,  598, -892, 1306,-1927, 3002,-5615,30383, 8317,-3340, 1904,-1214,  816, -565,  400, -291,  217, -366,  -14,    4,
   17, -199, -194,  245, -392,  603, -899, 1317,-1943, 3028,-5660,30308, 8454,-3391, 1933,-1233,  829, -574,  406, -295,  220, -367,  -14,    4,
   17, -197, -197,  248, -395,  608, -906, 1327,-1959, 3053,-5705,30232, 8592,-3441, 1962,-1252,  841, -582,  412, -299,  222, -367,  -15,    4,
   17, -196, -199,  250, -399,  613, -913, 1337,-1974, 3077,-5748,30155, 8730,-3491, 1991,-1271,  854, -591,  418, -303,  224, -368,  -15,    4,
   17, -194, -202,  253, -402,  618, -920, 1348,-1989, 3101,-5791,30077, 8868,-3541, 2020,-1290,  867, -600,  423, -306,  227, -368,  -16,    4,
   17, -193, -204,  255, -405,  622, -927, 1358,-2004, 3125,-5833,29998, 9006,-3591, 2048,-1308,  879, -608,  429, -310,  229, -369,  -16,    4,
   17, -191, -207,  258, -409,  627, -934, 1367,-2019, 3149,-5874,29919, 9145,-3641, 2077,-1327,  892, -617,  435, -314,  232, -369,  -17,    4,
   17, -190, -209,  260, -412,  631, -940, 1377,-2034, 3172,-5915,29838, 9283,-3691, 2105,-1345,  904, -625,  440, -317,  234, -370,  -17,    4,
   17, -189, -212,  263, -415,  636, -947, 1387,-2048, 3195,-5954,29757, 9422,-3740, 2134,-1364,  917, -634,  446, -321,  236, -370,  -18,    4,
   17, -187, -214,  265, -418,  640, -953, 1396,-2062, 3217,-5993,29675, 9562,-3789, 2162,-1382,  929, -642,  451, -324,  239, -371,  -19,    5,
   17, -186, -216,  267, -421,  645, -959, 1405,-2076, 3239,-6031,29591, 9701,-3838, 2190,-1400,  942, -650,  457, -328,  241, -371,  -19,    5,
